hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
29/01/18 04,94,167,29,41,11,17,29,167
29/01/18 05,78,344,102,83,14,45,102,344
29/01/18 06,210,746,155,292,26,129,155,746
29/01/18 07,305,1017,268,293,60,201,268,1017
29/01/18 08,439,1047,350,320,46,232,350,1047
29/01/18 09,219,901,249,257,48,207,249,901
29/01/18 10,645,966,213,262,56,181,213,966
29/01/18 11,404,958,148,209,95,138,148,958
29/01/18 12,568,933,122,174,124,85,122,933
29/01/18 13,873,982,156,201,92,175,156,982
29/01/18 14,1230,981,104,151,87,112,104,981
29/01/18 15,474,816,175,230,95,193,175,816
29/01/18 16,419,802,216,302,91,170,216,802
29/01/18 17,429,518,448,515,136,247,448,518
29/01/18 18,358,1201,571,665,97,236,571,1201
29/01/18 19,202,1045,298,390,30,158,298,1045
29/01/18 20,128,831,211,265,38,109,211,831
29/01/18 21,278,764,234,232,26,86,234,764
29/01/18 22,169,715,176,203,20,58,176,715
29/01/18 23,144,569,148,179,18,64,148,569
30/01/18 00,88,403,93,130,8,40,93,403
30/01/18 01,157,242,56,74,5,52,56,242
30/01/18 02,80,108,29,53,7,16,29,108
30/01/18 03,92,85,17,33,9,15,17,85
30/01/18 04,83,89,21,31,4,20,21,89
30/01/18 05,142,301,64,89,23,48,64,301
30/01/18 06,213,487,208,249,22,70,208,487
30/01/18 07,234,985,286,309,59,220,286,985
30/01/18 08,823,1168,218,252,58,207,218,1168
30/01/18 09,1157,1078,217,237,34,190,217,1078
30/01/18 10,1327,1001,175,195,83,137,175,1001
30/01/18 11,643,1059,244,225,25,197,244,1059
30/01/18 12,1028,1058,173,253,135,259,173,1058
30/01/18 13,1322,1158,211,182,196,248,211,1158
30/01/18 14,995,1049,158,238,74,197,158,1049
30/01/18 15,523,753,154,151,109,163,154,753
30/01/18 16,202,911,173,219,58,174,173,911
30/01/18 17,300,1236,302,381,68,212,302,1236
30/01/18 18,208,1361,330,438,67,192,330,1361
30/01/18 19,240,1231,367,446,34,193,367,1231
30/01/18 20,238,1113,311,410,37,163,311,1113
30/01/18 21,229,1035,314,314,38,132,314,1035
30/01/18 22,150,951,236,267,30,108,236,951
30/01/18 23,162,732,178,208,31,74,178,732
31/01/18 00,95,568,114,165,12,77,114,568
